,Company,Date Joined,Industry,Country,City,Continent,Year Founded,Funding,Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November),Years to Unicorn,Most Recent Valuation
0,SpaceX,2012-12-01,Other,United States,Hawthorne,North America,2002,$7B,100,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",127.0,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",10,127.0
1,SHEIN,2018-07-03,E-commerce And Direct-to-consumer,China,Shenzhen,Asia,2008,$2B,100,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",100.0,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",10,100.0
2,Stripe,2014-01-23,Fintech,United States,San Francisco,North America,2010,$2B,95,"Khosla Ventures, LowercaseCapital, capitalG",95.0,"Khosla Ventures, LowercaseCapital, capitalG",4,95.0
3,Klarna,2011-12-12,Fintech,Sweden,Stockholm,Europe,2005,$4B,46,"Institutional Venture Partners, Sequoia Capital, General Atlantic",6.7,"Institutional Venture Partners, Sequoia Capital, General Atlantic",6,6.7
4,Canva,2018-01-08,Internet Software And Services,Australia,Surry Hills,Oceania,2012,$572M,40,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",40.0,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",6,40.0
5,Checkout.com,2019-05-02,Fintech,United Kingdom,London,Europe,2012,$2B,40,"Tiger Global Management, Insight Partners, DST Global",40.0,"Tiger Global Management, Insight Partners, DST Global",7,40.0
6,Instacart,2014-12-30,"Supply Chain, Logistics, And Delivery",United States,San Francisco,North America,2012,$3B,39,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",39.0,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2,39.0
7,JUUL Labs,2017-12-20,Consumer And Retail,United States,San Francisco,North America,2015,$14B,38,Tiger Global Management,12.0,Tiger Global Management,2,12.0
8,Databricks,2019-02-05,Data Management And Analytics,United States,San Francisco,North America,2013,$3B,38,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",38.0,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",6,38.0
9,Revolut,2018-04-26,Fintech,United Kingdom,London,Europe,2015,$2B,33,"index Ventures, DST Global, Ribbit Capital",33.0,"index Ventures, DST Global, Ribbit Capital",3,33.0
10,Epic Games,2018-10-26,Other,United States,Cary,North America,1991,$7B,32,"Tencent Holdings, KKR, Smash Ventures",31.5,"Tencent Holdings, KKR, Smash Ventures",27,31.5
11,FTX,2021-07-20,Fintech,Bahamas,,North America,2018,$2B,32,"Sequoia Capital, Thoma Bravo, Softbank",32.0,"Sequoia Capital, Thoma Bravo, Softbank",3,32.0
12,Fanatics,2012-06-06,E-commerce And Direct-to-consumer,United States,Jacksonville,North America,2002,$4B,27,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",27.0,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",10,27.0
13,Chime,2019-03-05,Fintech,United States,San Francisco,North America,2013,$2B,25,"Forerunner Ventures, Crosslink Capital, Homebrew",25.0,"Forerunner Ventures, Crosslink Capital, Homebrew",6,25.0
14,BYJU's,2017-07-25,Edtech,India,Bengaluru,Asia,2008,$4B,22,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",22.0,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",9,22.0
15,J&T Express,2021-04-07,"Supply Chain, Logistics, And Delivery",Indonesia,Jakarta,Asia,2015,$5B,20,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",20.0,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",6,20.0
16,Xiaohongshu,2016-03-31,E-commerce And Direct-to-consumer,China,Shanghai,Asia,2013,$918M,20,"GGV Capital, ZhenFund, Tencent",20.0,"GGV Capital, ZhenFund, Tencent",3,20.0
17,Miro,2022-01-05,Internet Software And Services,United States,San Francisco,North America,2011,$476M,18,"Accel, AltaIR Capital, Technology Crossover Ventures",17.5,"Accel, AltaIR Capital, Technology Crossover Ventures",11,17.5
18,Yuanfudao,2017-05-31,Edtech,China,Beijing,Asia,2012,$4B,17,"Tencent Holdings, Warbug Pincus, IDG Capital",15.5,"Tencent Holdings, Warbug Pincus, IDG Capital",5,15.5
19,Rapyd,2019-12-03,Fintech,United Kingdom,London,Europe,2016,$770M,15,"Target Global, General Catalyst, Durable Capital Partners",8.75,"Target Global, General Catalyst, Durable Capital Partners",3,8.75
20,Discord,2018-04-20,Internet Software And Services,United States,San Francisco,North America,2012,$979M,15,"Benchmark, Greylock Partners, Tencent Holdings",15.0,"Benchmark, Greylock Partners, Tencent Holdings",6,15.0
21,goPuff,2020-10-08,E-commerce And Direct-to-consumer,United States,Philadelphia,North America,2013,$3B,15,"Accel, Softbank Group, Anthos Capital",15.0,"Accel, Softbank Group, Anthos Capital",7,15.0
22,Blockchain.com,2021-02-17,Fintech,United Kingdom,London,Europe,2011,$490M,14,"Lightspeed Venture Partners, Google Ventures, Lakestar",14.0,"Lightspeed Venture Partners, Google Ventures, Lakestar",10,14.0
23,Plaid,2018-12-11,Fintech,United States,San Francisco,North America,2012,$734M,13,"New Enterprise Associates, Spar Capital, Index Ventures",13.5,"New Enterprise Associates, Spar Capital, Index Ventures",6,13.5
24,Devoted Health,2018-10-16,Health,United States,Waltham,North America,2017,$2B,13,"Andreessen Horowitz, F-Prime Capital, Venrock",12.6,"Andreessen Horowitz, F-Prime Capital, Venrock",1,12.6
25,OpenSea,2021-07-20,E-commerce And Direct-to-consumer,United States,New York,North America,2017,$427M,13,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",13.3,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures",4,13.3
26,Grammarly,2019-10-10,Internet Software And Services,United States,San Francisco,North America,2009,$400M,13,"General Catalyst, Institutional Venture Partners, Breyer Capital",13.0,"General Catalyst, Institutional Venture Partners, Breyer Capital",10,13.0
27,Argo AI,2019-07-12,Artificial Intelligence,United States,Pittsburgh,North America,2016,$4B,12,"Volkswagen Group, Ford Autonomous Vehicles",7.25,"Volkswagen Group, Ford Autonomous Vehicles",3,7.25
28,Northvolt,2019-06-12,Other,Sweden,Stockholm,Europe,2016,$4B,12,"Vattenfall, Volkswagen Group, Goldman Sachs",9.08,"Vattenfall, Volkswagen Group, Goldman Sachs",3,9.08
29,Faire,2019-10-30,Artificial Intelligence,United States,San Francisco,North America,2017,$1B,12,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",12.59,"Khosla Ventures, Forerunner Ventures, Sequoia Capital",2,12.59
30,Airtable,2018-11-15,Internet Software And Services,United States,San Francisco,North America,2013,$1B,12,"Caffeinated Capital, CRV, Founder Collective",11.7,"Caffeinated Capital, CRV, Founder Collective",5,11.7
31,Brex,2018-10-05,Fintech,United States,San Francisco,North America,2017,$1B,12,"DST Global, Ribbit Capital, Greenoaks Capital Management",12.3,"DST Global, Ribbit Capital, Greenoaks Capital Management",1,12.3
32,Getir,2021-03-26,E-commerce And Direct-to-consumer,Turkey,Istanbul,Europe,2015,$2B,12,"Tiger Global Management, Sequoia Capital, Revo Capital",11.8,"Tiger Global Management, Sequoia Capital, Revo Capital",6,11.8
33,Biosplice Therapeutics,2018-08-06,Health,United States,San Diego,North America,2008,$799M,12,"Vickers Venture Partners, IKEA GreenTech",12.0,"Vickers Venture Partners, IKEA GreenTech",10,12.0
34,GoodLeap,2021-10-13,Internet Software And Services,United States,Roseville,North America,2003,$800M,12,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",12.0,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management",18,12.0
35,Xingsheng Selected,2020-07-22,E-commerce And Direct-to-consumer,China,Changsha,Asia,2009,$5B,12,"KKR, Tencent Holdings, Sequoia Capital China",12.0,"KKR, Tencent Holdings, Sequoia Capital China",11,12.0
