Company,Date Joined,Industry,Country,City,Continent,Year Founded,Funding,Funding_Numeric ($B),Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November),Years to Unicorn,Most Recent Valuation
SpaceX,2012-12-01,Other,United States,Hawthorne,North America,2002,$7B,7.0,100,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",127.0,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",10,127.0
SHEIN,2018-07-03,E-commerce And Direct-to-consumer,China,Shenzhen,Asia,2008,$2B,2.0,100,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",100.0,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",10,100.0
Stripe,2014-01-23,Fintech,United States,San Francisco,North America,2010,$2B,2.0,95,"Khosla Ventures, LowercaseCapital, capitalG",95.0,"Khosla Ventures, LowercaseCapital, capitalG",4,95.0
Klarna,2011-12-12,Fintech,Sweden,Stockholm,Europe,2005,$4B,4.0,46,"Institutional Venture Partners, Sequoia Capital, General Atlantic",6.7,"Institutional Venture Partners, Sequoia Capital, General Atlantic",6,6.7
Canva,2018-01-08,Internet Software And Services,Australia,Surry Hills,Oceania,2012,$572M,0.5720000000000001,40,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",40.0,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",6,40.0
Checkout.com,2019-05-02,Fintech,United Kingdom,London,Europe,2012,$2B,2.0,40,"Tiger Global Management, Insight Partners, DST Global",40.0,"Tiger Global Management, Insight Partners, DST Global",7,40.0
Instacart,2014-12-30,"Supply Chain, Logistics, And Delivery",United States,San Francisco,North America,2012,$3B,3.0,39,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",39.0,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2,39.0
JUUL Labs,2017-12-20,Consumer And Retail,United States,San Francisco,North America,2015,$14B,14.0,38,Tiger Global Management,12.0,Tiger Global Management,2,12.0
Databricks,2019-02-05,Data Management And Analytics,United States,San Francisco,North America,2013,$3B,3.0,38,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",38.0,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",6,38.0
Revolut,2018-04-26,Fintech,United Kingdom,London,Europe,2015,$2B,2.0,33,"index Ventures, DST Global, Ribbit Capital",33.0,"index Ventures, DST Global, Ribbit Capital",3,33.0
Epic Games,2018-10-26,Other,United States,Cary,North America,1991,$7B,7.0,32,"Tencent Holdings, KKR, Smash Ventures",31.5,"Tencent Holdings, KKR, Smash Ventures",27,31.5
FTX,2021-07-20,Fintech,Bahamas,,North America,2018,$2B,2.0,32,"Sequoia Capital, Thoma Bravo, Softbank",32.0,"Sequoia Capital, Thoma Bravo, Softbank",3,32.0
Fanatics,2012-06-06,E-commerce And Direct-to-consumer,United States,Jacksonville,North America,2002,$4B,4.0,27,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",27.0,"SoftBank Group, Andreessen Horowitz, Temasek Holdings",10,27.0
Chime,2019-03-05,Fintech,United States,San Francisco,North America,2013,$2B,2.0,25,"Forerunner Ventures, Crosslink Capital, Homebrew",25.0,"Forerunner Ventures, Crosslink Capital, Homebrew",6,25.0
BYJU's,2017-07-25,Edtech,India,Bengaluru,Asia,2008,$4B,4.0,22,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",22.0,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",9,22.0
J&T Express,2021-04-07,"Supply Chain, Logistics, And Delivery",Indonesia,Jakarta,Asia,2015,$5B,5.0,20,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",20.0,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China",6,20.0
